"dept","comm","year","week","price"
"AISNE","SOISSONS",1825,1,1275
"AISNE","SOISSONS",1825,2,1347
"AISNE","SOISSONS",1825,3,1307
"AISNE","SOISSONS",1825,4,1350
"AISNE","SOISSONS",1825,5,1347
"AISNE","SOISSONS",1825,6,1347
"AISNE","SOISSONS",1825,7,1340
"AISNE","SOISSONS",1825,8,1395
"AISNE","SOISSONS",1825,9,1353
"AISNE","SOISSONS",1825,10,1320
"AISNE","SOISSONS",1825,11,1400
"AISNE","SOISSONS",1825,12,1450
"AISNE","SOISSONS",1825,13,1347
"AISNE","SOISSONS",1825,14,1407
"AISNE","SOISSONS",1825,15,1552
"AISNE","SOISSONS",1825,16,1555
"AISNE","SOISSONS",1825,17,1519
"AISNE","SOISSONS",1825,18,1525
"AISNE","SOISSONS",1825,19,1576
"AISNE","SOISSONS",1825,20,1558
"AISNE","SOISSONS",1825,21,1596
"AISNE","SOISSONS",1825,22,1690
"AISNE","SOISSONS",1825,23,1697
"AISNE","SOISSONS",1825,24,1696
"AISNE","SOISSONS",1826,1,1693
"AISNE","SOISSONS",1826,2,1683
"AISNE","SOISSONS",1826,3,1677
"AISNE","SOISSONS",1826,4,1634
"AISNE","SOISSONS",1826,5,1622
"AISNE","SOISSONS",1826,6,1628
"AISNE","SOISSONS",1826,7,1591
"AISNE","SOISSONS",1826,8,1544
"AISNE","SOISSONS",1826,9,1607
"AISNE","SOISSONS",1826,10,1645
"AISNE","SOISSONS",1826,11,1660
"AISNE","SOISSONS",1826,12,1642
"AISNE","SOISSONS",1826,13,1645
"AISNE","SOISSONS",1826,14,1630
"AISNE","SOISSONS",1826,15,1664
"AISNE","SOISSONS",1826,16,1578
"AISNE","SOISSONS",1826,17,1526
"AISNE","SOISSONS",1826,18,1529
"AISNE","SOISSONS",1826,19,1556
"AISNE","SOISSONS",1826,20,1551
"AISNE","SOISSONS",1826,21,1585
"AISNE","SOISSONS",1826,22,1568
"AISNE","SOISSONS",1826,23,1617
"AISNE","SOISSONS",1826,24,1587
"AISNE","SOISSONS",1827,1,1615
"AISNE","SOISSONS",1827,2,1620
"AISNE","SOISSONS",1827,3,1598
"AISNE","SOISSONS",1827,4,1584
"AISNE","SOISSONS",1827,5,1573
"AISNE","SOISSONS",1827,6,1589
"AISNE","SOISSONS",1827,7,1608
"AISNE","SOISSONS",1827,8,1581
"AISNE","SOISSONS",1827,9,1592
"AISNE","SOISSONS",1827,10,1605
"AISNE","SOISSONS",1827,11,1629
"AISNE","SOISSONS",1827,12,1659
"AISNE","SOISSONS",1827,13,1695
"AISNE","SOISSONS",1827,14,1693
"AISNE","SOISSONS",1827,15,1658
"AISNE","SOISSONS",1827,16,1726
"AISNE","SOISSONS",1827,17,1826
"AISNE","SOISSONS",1827,18,1866
"AISNE","SOISSONS",1827,19,2031
"AISNE","SOISSONS",1827,20,2032
"AISNE","SOISSONS",1827,21,2180
"AISNE","SOISSONS",1827,22,2245
"AISNE","SOISSONS",1827,23,2231
"AISNE","SOISSONS",1827,24,2157
"AISNE","SOISSONS",1828,1,2155
"AISNE","SOISSONS",1828,2,2102
"AISNE","SOISSONS",1828,3,1980
"AISNE","SOISSONS",1828,4,1940
"AISNE","SOISSONS",1828,5,2041
"AISNE","SOISSONS",1828,6,2059
"AISNE","SOISSONS",1828,7,2018
"AISNE","SOISSONS",1828,8,1986
"AISNE","SOISSONS",1828,9,1880
"AISNE","SOISSONS",1828,10,1844
"AISNE","SOISSONS",1828,11,1848
"AISNE","SOISSONS",1828,12,1951
"AISNE","SOISSONS",1828,13,2101
"AISNE","SOISSONS",1828,14,2220
"AISNE","SOISSONS",1828,15,2317
"AISNE","SOISSONS",1828,16,2308
"AISNE","SOISSONS",1828,17,2326
"AISNE","SOISSONS",1828,18,2500
"AISNE","SOISSONS",1828,19,2411
"AISNE","SOISSONS",1828,20,2568
"AISNE","SOISSONS",1828,21,2635
"AISNE","SOISSONS",1828,22,2716
"AISNE","SOISSONS",1828,23,2668
"AISNE","SOISSONS",1828,24,2523
"AISNE","SOISSONS",1829,1,2488
"AISNE","SOISSONS",1829,2,2557
"AISNE","SOISSONS",1829,3,2541
"AISNE","SOISSONS",1829,4,2496
"AISNE","SOISSONS",1829,5,2548
"AISNE","SOISSONS",1829,6,2710
"AISNE","SOISSONS",1829,7,2990
"AISNE","SOISSONS",1829,8,3144
"AISNE","SOISSONS",1829,9,3205
"AISNE","SOISSONS",1829,10,3121
"AISNE","SOISSONS",1829,11,2778
"AISNE","SOISSONS",1829,12,2752
"AISNE","SOISSONS",1829,13,2536
"AISNE","SOISSONS",1829,14,2333
"AISNE","SOISSONS",1829,15,2325
"AISNE","SOISSONS",1829,16,2162
"AISNE","SOISSONS",1829,17,2255
"AISNE","SOISSONS",1829,18,2390
"AISNE","SOISSONS",1829,19,2382
"AISNE","SOISSONS",1829,20,2518
"AISNE","SOISSONS",1829,21,2429
"AISNE","SOISSONS",1829,22,2336
"AISNE","SOISSONS",1829,23,2060
"AISNE","SOISSONS",1829,24,2117
"AISNE","SOISSONS",1830,1,2065
"AISNE","SOISSONS",1830,2,2057
"AISNE","SOISSONS",1830,3,2058
"AISNE","SOISSONS",1830,4,2063
"AISNE","SOISSONS",1830,5,2017
"AISNE","SOISSONS",1830,6,2014
"AISNE","SOISSONS",1830,7,2070
"AISNE","SOISSONS",1830,8,2071
"AISNE","SOISSONS",1830,9,2100
"AISNE","SOISSONS",1830,10,2069
"AISNE","SOISSONS",1830,11,2077
"AISNE","SOISSONS",1830,12,2187
"AISNE","SOISSONS",1830,13,2265
"AISNE","SOISSONS",1830,14,2108
"AISNE","SOISSONS",1830,15,2151
"AISNE","SOISSONS",1830,16,2082
"AISNE","SOISSONS",1830,17,2060
"AISNE","SOISSONS",1830,18,2244
"AISNE","SOISSONS",1830,19,2350
"AISNE","SOISSONS",1830,20,2100
"AISNE","SOISSONS",1830,21,2292
"AISNE","SOISSONS",1830,22,2345
"AISNE","SOISSONS",1830,23,2267
"AISNE","SOISSONS",1830,24,2182
"AISNE","SOISSONS",1831,1,2198
"AISNE","SOISSONS",1831,2,2269
"AISNE","SOISSONS",1831,3,2248
"AISNE","SOISSONS",1831,4,2246
"AISNE","SOISSONS",1831,5,2169
"AISNE","SOISSONS",1831,6,2117
"AISNE","SOISSONS",1831,7,2128
"AISNE","SOISSONS",1831,8,2190
"AISNE","SOISSONS",1831,9,2251
"AISNE","SOISSONS",1831,10,2304
"AISNE","SOISSONS",1831,11,2568
"AISNE","SOISSONS",1831,12,2458
"AISNE","SOISSONS",1831,13,2362
"AISNE","SOISSONS",1831,14,2434
"AISNE","SOISSONS",1831,15,2405
"AISNE","SOISSONS",1831,16,2371
"AISNE","SOISSONS",1831,17,2284
"AISNE","SOISSONS",1831,18,2230
"AISNE","SOISSONS",1831,19,2347
"AISNE","SOISSONS",1831,20,2245
"AISNE","SOISSONS",1831,21,2149
"AISNE","SOISSONS",1831,22,2202
"AISNE","SOISSONS",1831,23,2099
"AISNE","SOISSONS",1831,24,2028
"AISNE","SOISSONS",1832,1,2119
"AISNE","SOISSONS",1832,2,2201
"AISNE","SOISSONS",1832,3,2151
"AISNE","SOISSONS",1832,4,2190
"AISNE","SOISSONS",1832,5,2226
"AISNE","SOISSONS",1832,6,2328
"AISNE","SOISSONS",1832,7,2398
"AISNE","SOISSONS",1832,8,2332
"AISNE","SOISSONS",1832,9,2388
"AISNE","SOISSONS",1832,10,2600
"AISNE","SOISSONS",1832,11,2739
"AISNE","SOISSONS",1832,12,2668
"AISNE","SOISSONS",1832,13,2480
"AISNE","SOISSONS",1832,14,2477
"AISNE","SOISSONS",1832,15,2453
"AISNE","SOISSONS",1832,16,2293
"AISNE","SOISSONS",1832,17,1838
"AISNE","SOISSONS",1832,18,1860
"AISNE","SOISSONS",1832,19,1794
"AISNE","SOISSONS",1832,20,1532
"AISNE","SOISSONS",1832,21,1617
"AISNE","SOISSONS",1832,22,1614
"AISNE","SOISSONS",1832,23,1640
"AISNE","SOISSONS",1832,24,1629
"AISNE","SOISSONS",1833,1,1647
"AISNE","SOISSONS",1833,2,1633
"AISNE","SOISSONS",1833,3,1547
"AISNE","SOISSONS",1833,4,1615
"AISNE","SOISSONS",1833,5,1507
"AISNE","SOISSONS",1833,6,1494
"AISNE","SOISSONS",1833,7,1444
"AISNE","SOISSONS",1833,8,1408
"AISNE","SOISSONS",1833,9,1440
"AISNE","SOISSONS",1833,10,1395
"AISNE","SOISSONS",1833,11,1552
"AISNE","SOISSONS",1833,12,1693
"AISNE","SOISSONS",1833,13,1622
"AISNE","SOISSONS",1833,14,1605
"AISNE","SOISSONS",1833,15,1592
"AISNE","SOISSONS",1833,16,1540
