"comm","year","month","quantity"
"BOURG",1825,3,1920
"BOURG",1830,1,945
"BOURG",1835,3,1481
"BOURG",1840,1,1517
"BOURG",1845,3,1954
"BOURG",1847,1,761
"BOURG",1847,3,3145
"BOURG",1850,10,1008
"ST LAURENT",1825,3,2280
"ST LAURENT",1830,1,519
"ST LAURENT",1835,3,2250
"ST LAURENT",1840,1,1845
"ST LAURENT",1845,3,1887
"ST LAURENT",1847,1,1323
"ST LAURENT",1847,3,762
"ST LAURENT",1850,10,780
"PT DE VAUX",1825,3,395
"PT DE VAUX",1830,1,394
"PT DE VAUX",1835,3,607
"PT DE VAUX",1840,1,291
"PT DE VAUX",1845,3,342
"PT DE VAUX",1847,1,273
"PT DE VAUX",1847,3,1179
"PT DE VAUX",1850,10,435
"GEX",1825,3,3
"GEX",1830,1,15
"GEX",1835,3,25
"GEX",1840,1,25
"GEX",1845,3,30
"GEX",1847,1,21
"GEX",1847,3,24
"GEX",1850,10,18
"COLLONGES",1825,3,119
"COLLONGES",1830,1,158
"COLLONGES",1840,1,19
"COLLONGES",1845,3,21
"COLLONGES",1847,1,23
"COLLONGES",1847,3,19
"COLLONGES",1850,10,69
"ST QUENTIN",1825,3,911
"ST QUENTIN",1830,1,1529
"ST QUENTIN",1835,3,710
"ST QUENTIN",1840,1,347
"ST QUENTIN",1845,3,651
"ST QUENTIN",1847,1,964
"ST QUENTIN",1847,3,1203
"ST QUENTIN",1850,10,384
"VERVINS",1825,3,70
"VERVINS",1830,1,72
"VERVINS",1835,3,52
"VERVINS",1840,1,18
"LA CAPELLE",1825,3,900
"LA CAPELLE",1830,1,775
"LA CAPELLE",1835,3,300
"LA CAPELLE",1840,1,580
"LA CAPELLE",1845,3,549
"LA CAPELLE",1847,1,321
"LA CAPELLE",1847,3,334
"LA CAPELLE",1850,10,252
"LA FERE",1825,3,310
"LA FERE",1830,1,210
"LA FERE",1835,3,30
"LA FERE",1840,1,72
"LA FERE",1845,3,115
"LA FERE",1847,1,75
"LA FERE",1847,3,154
"LA FERE",1850,10,31
"CHAUNY",1825,3,240
"CHAUNY",1830,1,255
"CHAUNY",1835,3,72
"CHAUNY",1840,1,66
"CHAUNY",1845,3,65
"CHAUNY",1847,1,8
"CHAUNY",1847,3,60
"CHAUNY",1850,10,30
"SOISSONS",1825,3,23
"SOISSONS",1830,1,2657
"SOISSONS",1835,3,3026
"SOISSONS",1840,1,3595
"SOISSONS",1845,3,4530
"SOISSONS",1847,1,2553
"SOISSONS",1847,3,2110
"SOISSONS",1850,10,2230
"MONTLUCON",1825,3,225
"MONTLUCON",1830,1,30
"MONTLUCON",1835,3,170
"MONTLUCON",1840,1,300
"MONTLUCON",1845,3,415
"MONTLUCON",1847,1,61
"MONTLUCON",1847,3,295
"MONTLUCON",1850,10,367
"MTMARAULT",1825,3,4
"MTMARAULT",1835,3,75
"MTMARAULT",1840,1,130
"MTMARAULT",1845,3,90
"MTMARAULT",1847,1,80
"MTMARAULT",1847,3,112
"MTMARAULT",1850,10,90
"GANNAT",1825,3,240
"GANNAT",1830,1,160
"GANNAT",1835,3,240
"GANNAT",1840,1,750
"GANNAT",1845,3,425
"GANNAT",1847,1,670
"GANNAT",1847,3,1050
"GANNAT",1850,10,827
"STPOURCAIN",1825,3,340
"STPOURCAIN",1830,1,646
"STPOURCAIN",1835,3,1858
"STPOURCAIN",1840,1,1527
"STPOURCAIN",1845,3,1764
"STPOURCAIN",1847,1,1104
"STPOURCAIN",1847,3,1274
"STPOURCAIN",1850,10,1010
"EBREUIL",1825,3,274
"EBREUIL",1830,1,190
"EBREUIL",1835,3,190
"EBREUIL",1840,1,255
"EBREUIL",1845,3,165
"EBREUIL",1847,1,211
"EBREUIL",1847,3,590
"EBREUIL",1850,10,228
"CASTELLANE",1825,3,56
"CASTELLANE",1830,1,18
"CASTELLANE",1835,3,42
"CASTELLANE",1840,1,35
"CASTELLANE",1845,3,4
"CASTELLANE",1847,1,17
"CASTELLANE",1847,3,14
"CASTELLANE",1850,10,17
"ENTREVAUX",1825,3,14
"ENTREVAUX",1830,1,16
"ENTREVAUX",1835,3,1250
